name,province,country,latitude,longitude,verification_status,coordinate_source
Spinal Injury Rehablitation Center,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Star Hospital,Bagmati,Nepal,27.6816645,85.3028341,unverified,OSM
Sumeru Community Hospital,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Suvekchya International Hospital,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Trishuli Hospital,Bagmati,Nepal,27.9246457,85.1408256,unverified,OSM
TU Teaching Hospital,Bagmati,Nepal,27.7361084,85.3301725,unverified,OSM
Upendra Devkota Memorial National Institute of Neuro,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Vayodha Hospitals PVT.LTD,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Venus Hospital,Bagmati,Nepal,27.6972369,85.3376008,unverified,OSM
Pokhara Academy of Health Sciences WRH,Gandaki,Nepal,28.2017155,84.2535946,unverified,OSM
Manipal Teaching Hospital,Gandaki,Nepal,28.2367583,83.9960459,unverified,OSM
Charak Memorial Hospital,Gandaki,Nepal,28.2107833,83.9861013,unverified,OSM
Gandaki Medical College,Gandaki,Nepal,28.1708123,84.0431371,unverified,OSM
Lakecity Hospital and Critical Care Pvt.Ltd,Gandaki,Nepal,28.2017155,84.2535946,unverified,OSM
Lamjung Hospital,Gandaki,Nepal,28.2331462,84.3771218,unverified,OSM
Dhaulagiri Zonal Hospital,Gandaki,Nepal,28.2682373,83.6009431,unverified,OSM
Beni Hospital,Gandaki,Nepal,28.2017155,84.2535946,unverified,OSM
Syangja District Hospital,Gandaki,Nepal,28.1050636,83.8736304,unverified,OSM
Parbat District Hospital,Gandaki,Nepal,28.2116711,83.6757747,unverified,OSM
National Kidney Center Tanahun,Gandaki,Nepal,28.2017155,84.2535946,unverified,OSM
Gorkha Hospital,Gandaki,Nepal,27.9949532,84.6279988,unverified,OSM
Damauli Hospital,Gandaki,Nepal,28.2017155,84.2535946,unverified,OSM
Madhyabindu District Hospital,Gandaki,Nepal,28.2017155,84.2535946,unverified,OSM
Waling Community Dialysis Center,Gandaki,Nepal,28.2017155,84.2535946,unverified,OSM
Lumbini Provincial Hospital,Lumbini,Nepal,27.6868329,83.431806,unverified,OSM
District Hospital Bardia,Lumbini,Nepal,27.980713,82.9531851,unverified,OSM
Rapti Zonal Hospital,Lumbini,Nepal,28.1325191,82.2870478,unverified,OSM
Universal College of Medical Sciences,Lumbini,Nepal,27.4891213,83.4486669,unverified,OSM
Siddharthanagar City Hospital,Lumbini,Nepal,27.5181025,83.4520689,unverified,OSM
Gautam Buddha Community Heart Hospital,Lumbini,Nepal,27.6851669,83.4768685,unverified,OSM
Bheri Zonal Hospital,Lumbini,Nepal,28.0529036,81.6200829,unverified,OSM
